elapsed_s,cost
30.684,17061200.0
30.684,17059200.0
30.684,17058800.0
30.684,17056900.0
30.684,17054500.0
30.684,17052400.0
30.684,17052500.0
30.684,17051300.0
30.684,17049000.0
30.684,17045800.0
30.684,17046000.0
30.684,17044500.0
30.684,17092800.0
30.684,17052400.0
30.684,17044000.0
30.684,17040900.0
30.684,17039200.0
30.684,17037800.0
30.684,17036300.0
30.684,17034300.0
30.684,17032800.0
30.684,17031500.0
30.684,17029900.0
30.684,17029400.0
30.684,17029000.0
30.684,17024500.0
30.684,17021800.0
30.684,20469800.0
30.684,17017700.0
30.684,17016500.0
30.684,17014200.0
30.684,21332900.0
30.684,17095600.0
30.684,17011200.0
30.684,19840600.0
30.684,17246000.0
30.684,17027800.0
35.915,17011100.0
35.915,25462700.0
35.915,17161400.0
35.915,17014600.0
35.915,17008300.0
35.915,17005800.0
35.915,17003700.0
35.915,17049100.0
35.915,17004900.0
35.915,17002900.0
35.915,17001400.0
35.915,16999500.0
35.915,17018300.0
35.915,16999700.0
35.915,16998600.0
35.915,16997500.0
35.915,16996700.0
35.915,16996000.0
35.915,16995200.0
35.915,16994200.0
35.915,16993000.0
35.915,17001100.0
35.915,16991500.0
35.915,16990500.0
35.915,16989200.0
35.915,16987400.0
35.915,16986100.0
35.915,16984200.0
35.915,16981800.0
35.915,16979800.0
35.915,16977500.0
35.915,16976100.0
35.915,16974900.0
35.915,16973200.0
35.915,16974500.0
35.915,16972100.0
35.915,18582500.0
35.915,17113300.0
35.915,16984000.0
35.915,16972600.0
35.915,16971800.0
35.915,16972800.0
35.915,16971100.0
35.915,16969400.0
35.915,16968000.0
35.915,16965000.0
35.915,16962100.0
35.915,16957900.0
35.915,16953300.0
35.915,16948800.0
35.915,16945100.0
35.915,16941200.0
35.915,16936400.0
35.915,16932500.0
35.915,16928800.0
35.915,16924000.0
35.915,16921900.0
35.915,16918400.0
35.915,16917300.0
35.915,16912300.0
35.915,16907900.0
35.915,16916100.0
35.915,16905700.0
35.915,16902100.0
35.915,16898500.0
35.915,16892700.0
35.915,16887700.0
35.915,16884400.0
35.915,16880100.0
35.915,16876000.0
35.915,16870000.0
35.915,16863100.0
35.915,16860800.0
35.915,16853200.0
35.915,16849400.0
35.915,16844600.0
35.915,16840900.0
35.915,16837000.0
35.915,16834000.0
35.915,16835700.0
35.915,16830000.0
35.915,16826100.0
35.915,16823000.0
35.915,16825800.0
35.915,16822400.0
35.915,16951100.0
35.915,16836900.0
35.915,16823800.0
35.915,16821800.0
35.915,16818600.0
35.915,16816500.0
35.915,16814500.0
35.915,16813500.0
35.915,16813300.0
35.915,16809800.0
35.915,16806200.0
35.915,16805400.0
35.915,16803100.0
35.915,16801100.0
35.915,16800000.0
35.915,16798000.0
35.915,16797000.0
35.915,16796200.0
35.915,16795700.0
35.915,16794400.0
35.915,16792900.0
35.915,16791300.0
35.915,16984900.0
35.915,16790200.0
35.915,16788800.0
35.915,16787900.0
35.915,16792700.0
35.915,16788900.0
35.915,16788000.0
35.915,16787800.0
35.915,16787000.0
35.915,16786400.0
35.915,16785000.0
35.915,16784000.0
35.915,16801900.0
35.915,16788600.0
35.915,16784900.0
35.915,16783900.0
35.915,16782400.0
35.915,16779600.0
35.915,16776300.0
35.915,16771300.0
35.915,16767900.0
35.915,16762500.0
35.915,16759800.0
35.915,16758300.0
35.915,16757000.0
35.915,16755900.0
35.915,16754500.0
35.915,16752600.0
35.915,16749900.0
35.915,16757300.0
35.915,16746700.0
35.915,16869000.0
35.915,16757500.0
35.915,16746600.0
35.915,16742400.0
35.915,16740500.0
35.915,16739100.0
35.915,16737300.0
35.915,16734900.0
35.915,16733900.0
35.915,16729100.0
35.915,16726200.0
35.915,16722900.0
35.915,16728100.0
35.915,16722900.0
35.915,16722000.0
35.915,16718700.0
35.915,16715200.0
35.915,16711900.0
35.915,16707200.0
35.915,16702000.0
35.915,16856600.0
35.915,16697300.0
35.915,16707500.0
35.915,16695200.0
35.915,16696100.0
35.915,16690400.0
35.915,16688000.0
35.915,16686200.0
35.915,16685000.0
35.915,16683600.0
35.915,16681700.0
35.915,16678600.0
35.915,16675800.0
35.915,16682400.0
35.915,16674500.0
35.915,16670000.0
35.915,16666800.0
35.915,16663900.0
35.915,16661500.0
35.915,16659200.0
35.915,16656100.0
35.915,16654300.0
35.915,16652600.0
35.915,16650200.0
35.915,16648000.0
35.915,16654000.0
35.915,16648100.0
35.915,16647200.0
35.915,16645100.0
40.976,16642100.0
40.976,16640100.0
40.976,16638100.0
40.976,16636700.0
40.976,16637700.0
40.976,16636000.0
40.976,16634700.0
40.976,16632800.0
40.976,16631100.0
40.976,16629000.0
40.976,16626800.0
40.976,16623800.0
40.976,16620100.0
40.976,16617600.0
40.976,16614500.0
40.976,16612500.0
40.976,16610700.0
40.976,16608000.0
40.976,16604900.0
40.976,16603400.0
40.976,16600700.0
40.976,16598100.0
40.976,16595300.0
40.976,16590300.0
40.976,16586000.0
40.976,16581600.0
40.976,16575200.0
40.976,16569700.0
40.976,16568700.0
40.976,16594600.0
40.976,16573700.0
40.976,16567800.0
40.976,16585400.0
40.976,16565600.0
40.976,16562500.0
40.976,16558800.0
40.976,16555400.0
40.976,16552600.0
40.976,16548900.0
40.976,16544300.0
40.976,16540100.0
40.976,16577600.0
40.976,16537300.0
40.976,23654500.0
